Month,#Passengers,Year,Abs_Diff,Rel_Diff
1949-01-01,112,1949,,
1949-02-01,118,1949,6.0,5.35714285714286
1949-03-01,132,1949,14.0,11.864406779661007
1949-04-01,129,1949,-3.0,-2.2727272727272707
1949-05-01,121,1949,-8.0,-6.2015503875969
1949-06-01,135,1949,14.0,11.570247933884303
1949-07-01,148,1949,13.0,9.629629629629633
1949-08-01,148,1949,0.0,0.0
1949-09-01,136,1949,-12.0,-8.108108108108103
1949-10-01,119,1949,-17.0,-12.5
1949-11-01,104,1949,-15.0,-12.605042016806722
1949-12-01,118,1949,14.0,13.461538461538458
1950-01-01,115,1950,-3.0,-2.5423728813559365
1950-02-01,126,1950,11.0,9.565217391304337
1950-03-01,141,1950,15.0,11.904761904761907
1950-04-01,135,1950,-6.0,-4.255319148936165
1950-05-01,125,1950,-10.0,-7.4074074074074066
1950-06-01,149,1950,24.0,19.199999999999996
1950-07-01,170,1950,21.0,14.093959731543615
1950-08-01,170,1950,0.0,0.0
1950-09-01,158,1950,-12.0,-7.058823529411762
1950-10-01,133,1950,-25.0,-15.822784810126578
1950-11-01,114,1950,-19.0,-14.28571428571429
1950-12-01,140,1950,26.0,22.807017543859654
1951-01-01,145,1951,5.0,3.571428571428581
1951-02-01,150,1951,5.0,3.4482758620689724
1951-03-01,178,1951,28.0,18.666666666666675
1951-04-01,163,1951,-15.0,-8.42696629213483
1951-05-01,172,1951,9.0,5.521472392638027
1951-06-01,178,1951,6.0,3.488372093023262
1951-07-01,199,1951,21.0,11.79775280898876
1951-08-01,199,1951,0.0,0.0
1951-09-01,184,1951,-15.0,-7.537688442211055
1951-10-01,162,1951,-22.0,-11.956521739130432
1951-11-01,146,1951,-16.0,-9.876543209876543
1951-12-01,166,1951,20.0,13.698630136986312
1952-01-01,171,1952,5.0,3.0120481927710774
1952-02-01,180,1952,9.0,5.263157894736836
1952-03-01,193,1952,13.0,7.222222222222219
1952-04-01,181,1952,-12.0,-6.217616580310881
1952-05-01,183,1952,2.0,1.104972375690605
1952-06-01,218,1952,35.0,19.12568306010929
1952-07-01,230,1952,12.0,5.504587155963292
1952-08-01,242,1952,12.0,5.217391304347818
