Month,reference,target,missing,target_filled,Year,Abs_Diff,Rel_Diff
1949-01-01,112,112.0,,112.0,1949,,
1949-02-01,118,118.0,,118.0,1949,6.0,5.35714285714286
1949-03-01,132,132.0,,132.0,1949,14.0,11.864406779661007
1949-04-01,129,,129.0,126.5,1949,-5.5,-4.1666666666666625
1949-05-01,121,121.0,,121.0,1949,-5.5,-4.347826086956519
1949-06-01,135,135.0,,135.0,1949,14.0,11.570247933884303
1949-07-01,148,148.0,,148.0,1949,13.0,9.629629629629633
1949-08-01,148,,148.0,142.0,1949,-6.0,-4.054054054054057
1949-09-01,136,136.0,,136.0,1949,-6.0,-4.225352112676061
1949-10-01,119,,119.0,120.0,1949,-16.0,-11.764705882352944
1949-11-01,104,104.0,,104.0,1949,-16.0,-13.33333333333333
1949-12-01,118,118.0,,118.0,1949,14.0,13.461538461538458
1950-01-01,115,115.0,,115.0,1950,-3.0,-2.5423728813559365
1950-02-01,126,,126.0,128.0,1950,13.0,11.304347826086957
1950-03-01,141,141.0,,141.0,1950,13.0,10.15625
1950-04-01,135,135.0,,135.0,1950,-6.0,-4.255319148936165
1950-05-01,125,125.0,,125.0,1950,-10.0,-7.4074074074074066
1950-06-01,149,149.0,,149.0,1950,24.0,19.199999999999996
1950-07-01,170,170.0,,170.0,1950,21.0,14.093959731543615
1950-08-01,170,170.0,,170.0,1950,0.0,0.0
1950-09-01,158,,158.0,151.5,1950,-18.5,-10.882352941176466
1950-10-01,133,133.0,,133.0,1950,-18.5,-12.211221122112214
1950-11-01,114,114.0,,114.0,1950,-19.0,-14.28571428571429
1950-12-01,140,,140.0,129.5,1950,15.5,13.596491228070185
1951-01-01,145,145.0,,145.0,1951,15.5,11.969111969111967
1951-02-01,150,150.0,,150.0,1951,5.0,3.4482758620689724
1951-03-01,178,,178.0,156.5,1951,6.5,4.333333333333322
1951-04-01,163,163.0,,163.0,1951,6.5,4.153354632587858
1951-05-01,172,,172.0,170.5,1951,7.5,4.601226993865026
1951-06-01,178,178.0,,178.0,1951,7.5,4.398826979472137
1951-07-01,199,199.0,,199.0,1951,21.0,11.79775280898876
1951-08-01,199,199.0,,199.0,1951,0.0,0.0
1951-09-01,184,184.0,,184.0,1951,-15.0,-7.537688442211055
1951-10-01,162,162.0,,162.0,1951,-22.0,-11.956521739130432
1951-11-01,146,146.0,,146.0,1951,-16.0,-9.876543209876543
1951-12-01,166,,166.0,158.5,1951,12.5,8.56164383561644
1952-01-01,171,171.0,,171.0,1952,12.5,7.886435331230279
1952-02-01,180,180.0,,180.0,1952,9.0,5.263157894736836
1952-03-01,193,193.0,,193.0,1952,13.0,7.222222222222219
1952-04-01,181,181.0,,181.0,1952,-12.0,-6.217616580310881
1952-05-01,183,,183.0,199.5,1952,18.5,10.220994475138113
1952-06-01,218,218.0,,218.0,1952,18.5,9.273182957393477
1952-07-01,230,230.0,,230.0,1952,12.0,5.504587155963292
1952-08-01,242,242.0,,242.0,1952,12.0,5.217391304347818
1952-09-01,209,209.0,,209.0,1952,-33.0,-13.636363636363635
1952-10-01,191,191.0,,191.0,1952,-18.0,-8.61244019138756
1952-11-01,172,172.0,,172.0,1952,-19.0,-9.947643979057597
1952-12-01,194,194.0,,194.0,1952,22.0,12.790697674418606
1953-01-01,196,196.0,,196.0,1953,2.0,1.0309278350515427
1953-02-01,196,,196.0,216.0,1953,20.0,10.20408163265305
1953-03-01,236,236.0,,236.0,1953,20.0,9.259259259259256
1953-04-01,235,235.0,,235.0,1953,-1.0,-0.4237288135593209
1953-05-01,229,,229.0,239.0,1953,4.0,1.7021276595744705
1953-06-01,243,243.0,,243.0,1953,4.0,1.673640167364021
1953-07-01,264,264.0,,264.0,1953,21.0,8.64197530864197
1953-08-01,272,,272.0,250.5,1953,-13.5,-5.113636363636365
